,volume,underlying_price,underlying_index,quote_currency,price_change,open_interest,mid_price,mark_price,low,last,interest_rate,instrument_name,high,estimated_delivery_price,creation_timestamp,bid_price,base_currency,ask_price,instrument_id,EXP_DATE,K,cp,S,TTM
303,27.0,9451.99,BTC-25DEC20,USD,0.9036,516.5,0.169,0.1689855,0.166,0.1675,0,BTC-25DEC20-10000-C,0.1705,9291.44,1594208349787,0.1675,BTC,0.1705,BTCUSD-20201225-10000-C,20201225,10000.0,C,9451.99,169.18109953703703
312,129.5,9293.622076095158,SYN.BTC-10JUL20,USD,-37.037,547.7,0.0075,0.00775802,0.0075,0.0085,0,BTC-10JUL20-9250-P,0.0135,9291.44,1594208349787,0.007,BTC,0.008,BTCUSD-20200710-9250-P,20200710,9250.0,P,9293.622076095158,1.181099537037037
313,4.0,9518.63,BTC-26MAR21,USD,-0.2506,187.7,0.1975,0.19746785,0.199,0.199,0,BTC-26MAR21-11000-C,0.1995,9291.44,1594208349787,0.1955,BTC,0.1995,BTCUSD-20210326-11000-C,20210326,11000.0,C,9518.63,260.181099537037
314,5.1,9317.7387918408,SYN.BTC-31JUL20,USD,0.0,1089.0,0.00125,0.00123345,0.0015,0.0015,0,BTC-31JUL20-6000-P,0.0015,9291.44,1594208349787,0.001,BTC,0.0015,BTCUSD-20200731-6000-P,20200731,6000.0,P,9317.7387918408,22.18109953703704
315,36.3,9301.660989930595,SYN.BTC-17JUL20,USD,8.5714,316.5,0.018,0.01800746,0.016,0.019,0,BTC-17JUL20-9500-C,0.02,9291.44,1594208349787,0.0175,BTC,0.0185,BTCUSD-20200717-9500-C,20200717,9500.0,C,9301.660989930595,8.181099537037037
317,65.0,9518.63,BTC-26MAR21,USD,-0.3891,168.3,0.13,0.12996991,0.1275,0.128,0,BTC-26MAR21-14000-C,0.129,9291.44,1594208349787,0.127,BTC,0.133,BTCUSD-20210326-14000-C,20210326,14000.0,C,9518.63,260.181099537037
318,15.2,9349.894391055994,SYN.BTC-28AUG20,USD,10.5263,1132.0,0.01125,0.01123789,0.0095,0.0105,0,BTC-28AUG20-14000-C,0.0105,9291.44,1594208349787,0.0105,BTC,0.012,BTCUSD-20200828-14000-C,20200828,14000.0,C,9349.894391055994,50.181099537037035
319,20.1,9292.413648379223,SYN.BTC-9JUL20,USD,-60.0,20.1,0.00125,0.00123509,0.001,0.001,0,BTC-9JUL20-9000-P,0.0035,9291.44,1594208349787,0.001,BTC,0.0015,BTCUSD-20200709-9000-P,20200709,9000.0,P,9292.413648379223,0.18109953703703704
320,2.0,9451.99,BTC-25DEC20,USD,0.0,42.4,0.2675,0.26638175,0.2645,0.2645,0,BTC-25DEC20-8000-C,0.2645,9291.44,1594208349787,0.265,BTC,0.27,BTCUSD-20201225-8000-C,20201225,8000.0,C,9451.99,169.18109953703703
321,1.0,9381.99,BTC-25SEP20,USD,0.0,286.8,0.20125,0.2005557,0.2,0.2,0,BTC-25SEP20-8000-C,0.2,9291.44,1594208349787,0.1995,BTC,0.203,BTCUSD-20200925-8000-C,20200925,8000.0,C,9381.99,78.18109953703704
323,12.4,9292.413648379223,SYN.BTC-9JUL20,USD,-16.129,11.5,0.012,0.01235888,0.0125,0.013,0,BTC-9JUL20-9375-P,0.021,9291.44,1594208349787,0.011,BTC,0.013,BTCUSD-20200709-9375-P,20200709,9375.0,P,9292.413648379223,0.18109953703703704
